player,ppg,apg,rpg,bpg,num_seasons,MVPs,Finals_MVP,Championships,ROTY,DPOTY,CPOY,NBA1st,NBA2nd,NBA3rd,DEF1st,DEF2nd,AllStarCount,hof
Walt Williams,11.843220339,2.3121468927,3.9463276836,0.5734463277,11,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Walter Bond,5.7058823529,1.1568627451,1.8888888889,0.2222222222,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Aaron William,5.7622377622,0.6783216783,3.9020979021,0.7538461538,14,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Acie Earl,5.0777202073,0.3160621762,2.6787564767,0.6528497409,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Adonis Jordan,2.1,2.2,0.6,0.1,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Allan Houston,17.343265793,2.3718712753,2.9010727056,0.1656734207,12,0,0.0,0.0,0,0,0,0,0,0,0,0,2,False
Alphonso Ford,3.1818181818,0.9090909091,1.8181818182,0.0,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Andrew Gaze,2.7272727273,0.5454545455,2.7727272727,0.0909090909,2,0,0.0,1.0,0,0,0,0,0,0,0,0,0,False
Andrés Guibe,1.6538461538,0.4230769231,0.4615384615,0.0769230769,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Anfernee Hard,15.176136364,5.0071022727,4.46875,0.4431818182,14,0,0.0,0.0,0,0,0,2,0,1,0,0,4,False
Antonio Davis,10.012181617,1.1262458472,7.480620155,0.984496124,13,0,0.0,0.0,0,0,0,0,0,0,0,0,1,False
Antonio Harve,2.9572192513,0.3101604278,2.3155080214,0.6951871658,8,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Bill Edwards,2.0,1.3333333333,4.6666666667,0.3333333333,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Bo Outlaw,5.4376367615,1.5765864333,4.8544857768,1.3052516411,15,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Bob Martin,2.0925925926,0.3333333333,2.2037037037,0.6296296296,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Bobby Hurley,3.8364312268,3.2713754647,1.0520446097,0.0260223048,5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Brian Davis,1.9264705882,0.3235294118,0.8088235294,0.0588235294,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Bryon Russell,7.9227110583,1.2901307967,3.4649227111,0.2413793103,13,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Calbert Chean,9.4860606061,1.6945454545,3.1636363636,0.24,13,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Chad Gallaghe,3.0,0.0,0.0,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Chris Jent,6.1666666667,1.3333333333,2.6666666667,0.0,2,0,0.0,1.0,0,0,0,0,0,0,0,0,0,False
Chris King,6.7281553398,1.1262135922,3.0194174757,0.3300970874,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Chris Mills,11.191901408,1.8714788732,4.9436619718,0.4348591549,10,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Chris Webber,20.676293622,4.2430806258,9.7761732852,1.4440433213,15,0,0.0,0.0,1,0,0,1,3,1,0,0,5,True
Chris Whitney,6.4559585492,2.7858376511,1.4075993092,0.0552677029,11,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
Corie Blount,3.551242236,0.7142857143,4.1770186335,0.4130434783,11,0,0.0,0.0,0,0,0,0,0,0,0,0,0,False
